Barcode,Loc,Year,Test,Plot,Entry,Rep,Stock,Pedigree,DTA,DTS,PHT,FHT,EHT,STD,LDG,PlotWt,Moist,TestWt,Yield,YieldMoist,BuA,Population,PlantDate,Seed,Field,SeqNo,Range,Row,FtLong,FtAlley,FtWide,NumRows,HarvDate,AFppb,NOTES,Germination
CS18-YC1I-059,CS,2018,YC1I,059,Y360,1,CS14-YUAN-360-1,(Tx740/NC356)-18-040-1,77,77,58,40,24,7,,,,,,,,14349,3/14/2018,24,,,14,84,12.5,4,2.5,1,,,,29.17%
CS18-YC1I-060,CS,2018,YC1I,060,PHV63,1,PHV63,,76,76,61,48,24,10,,,,,,,,20499,3/14/2018,24,,,14,83,12.5,4,2.5,1,,,,41.67%
CS18-YC1I-061,CS,2018,YC1I,061,Y396,1,CS16-YUAV-501-B5,(Tx740/NC356)-18-151-1-1-B5-B5,77,77,73,61,31,16,,,,,,,,32798,3/14/2018,24,,,14,82,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-062,CS,2018,YC1I,062,Y449,1,CS16-YUAV-439-B6,(Tx740/NC356)-18-145-2-B3-B6,79,79,76,59,29,4,,,,,,,,8200,3/14/2018,24,,,14,81,12.5,4,2.5,1,,,,16.67%
CS18-YC1I-063,CS,2018,YC1I,063,Ki3,1,Ki3,,81,83,49,39,14,12,,,,,,,,24599,3/14/2018,24,,,14,80,12.5,4,2.5,1,,,,50.00%
CS18-YC1I-064,CS,2018,YC1I,064,Y353,1,CS15-YUAN-433-B5,(Tx740/NC356)-18-016-1-1-B5,75,75,71,48,29,13,,,,,,,,26648,3/14/2018,24,,,14,79,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-065,CS,2018,YC1I,065,Y427,1,CS16-YUAV-525-B4,(Tx740/NC356)-18-080-2-B2-B4,79,80,71,58,25,18,,,,,,,,36898,3/14/2018,24,,,15,79,12.5,4,2.5,1,,,,75.00%
CS18-YC1I-066,CS,2018,YC1I,066,Y404,1,CS16-YUAV-508-B11,(Tx740/NC356)-18-006-2-1-B3-B11,75,75,65,50,21,13,,,,,,,,26648,3/14/2018,24,,,15,80,12.5,4,2.5,1,,,,54.17%
CS18-YC1I-067,CS,2018,YC1I,067,Y369,1,CS16-YUAV-475-B7,(Tx740/NC356)-18-070-1-1-1-B7,77,77,70,53,18,9,,,,,,,,18449,3/14/2018,24,,,15,81,12.5,4,2.5,1,,,,37.50%
CS18-YC1I-068,CS,2018,YC1I,068,Y387,1,CS14-YUAN-387-1,(Tx740/NC356)-18-128-1,75,79,65,50,30,16,,,,,,,,32798,3/14/2018,24,,,15,82,12.5,4,2.5,1,,,,66.67%
CS18-YC1I-069,CS,2018,YC1I,069,Y410,1,CS16-YUAV-426-B6,(Tx740/NC356)-18-024-2-B3-B6,78,79,75,51,33,19,,,,,,,,38948,3/14/2018,24,,,15,83,12.5,4,2.5,1,,,,79.17%
